team,jersey,name,pos,games,age,college,mover,also,resolved
chicago-bears,45,Gary Fencik,DB,14,25,Yale,,,
chicago-bears,83,Golden Richards,WR,5,28,Brigham Young,,,
chicago-bears,88,Greg Latta,TE,15,27,Morgan State,,,
chicago-bears,81,Harry Washington,WR,6,23,Colorado State,,,
chicago-bears,33,Jack Deloplaine,RB,6,25,Salem International,yes,pittsburgh-steelers:1,games
chicago-bears,89,James Scott,WR,10,27,Trinity Valley CC (TX),,,
chicago-bears,74,Jerry Meyers,DE,6,25,Northern Illinois,,,
chicago-bears,58,Jerry Muckensturm,LB,16,26,Arkansas State,,,
chicago-bears,68,Jim Osborne,DT,16,30,Southern,,,
chicago-bears,30,John Skibinski,RB,1,24,Purdue,,,
chicago-bears,83,Kris Haines,WR,3,22,Notre Dame,yes,washington-redskins:1,games
chicago-bears,57,Lee Kunz,LB,16,22,Nebraska,,,
chicago-bears,23,Len Walterscheid,DB,15,25,Southern Utah,,,
chicago-bears,25,Lonnie Perrin,RB,14,27,Illinois,yes,washington-redskins:5,games
chicago-bears,60,Lynn Boden,OG,10,26,South Dakota State,,,
chicago-bears,50,Mark Merrill,LB,15,24,Minnesota,yes,new-york-jets:6,games
chicago-bears,87,Mike Cobb,TE,16,23,Michigan State,,,
chicago-bears,73,Mike Hartenstine,DE,16,26,Penn State,,,
chicago-bears,15,Mike Phipps,QB,12,31,Purdue,,,
chicago-bears,47,Mike Spivey,DB,16,25,Colorado,,,
chicago-bears,65,Noah Jackson,OG,15,28,Tampa,,,
chicago-bears,69,Revie Sorey,OG,16,26,Illinois,,,
chicago-bears,80,Rickey Watts,WR,16,22,Tulsa,,,
chicago-bears,39,Robin Earl,RB,13,24,Washington,,,
chicago-bears,76,Ron Rydalch,DT,16,27,Utah,,,
chicago-bears,85,Steve Schubert,WR,14,28,Massachusetts,,,
chicago-bears,64,Ted Albrecht,OT,16,25,California,,,
chicago-bears,44,Terry Schmidt,DB,16,27,Ball State,,,
chicago-bears,54,Tom Hicks,LB,15,26,Illinois,,,
chicago-bears,53,Tommy Hart,DE,15,34,Morris Brown,,,
chicago-bears,63,Tony Ardizzone,C,16,22,Northwestern,,,
chicago-bears,8,Vince Evans,QB,4,24,Southern California,,,
chicago-bears,24,Virgil Livers,DB,13,27,Western Kentucky,,,
chicago-bears,34,Walter Payton,RB,16,25,Jackson State,,,
chicago-bears,36,Wentford Gaines,DB,16,26,Cincinnati,,,
chicago-bears,37,Willie McClendon,RB,16,22,Georgia,,,
cincinnati-bengals,45,Archie Griffin,RB,16,25,Ohio State,,,
cincinnati-bengals,70,Barney Cotton,OG,13,23,Nebraska,,,
cincinnati-bengals,82,Billy Brooks,WR,4,26,Oklahoma,,,
cincinnati-bengals,58,Blair Bush,C,12,22,Washington,,,
cincinnati-bengals,53,Bo Harris,LB,15,26,Louisiana State,,,
cincinnati-bengals,54,Bob Johnson,C,5,33,Tennessee,,,
cincinnati-bengals,40,Charles Alexander,RB,16,22,Louisiana State,,,
cincinnati-bengals,10,Chris Bahr,K,16,26,Penn State,,,
cincinnati-bengals,89,Dan Ross,TE,16,22,Northeastern,,,
cincinnati-bengals,62,Dave Lapham,OG,16,27,Syracuse,,,
cincinnati-bengals,22,Deacon Turner,RB,16,24,San Diego State,,,
cincinnati-bengals,30,Dick Jauron,DB,16,29,Yale,,,
cincinnati-bengals,84,Don Bass,TE,16,23,Houston,,,
cincinnati-bengals,73,Eddie Edwards,DE,14,25,Miami,,,
cincinnati-bengals,67,Gary Burley,DE,16,26,Pittsburgh,,,
cincinnati-bengals,74,Glenn Bujnoch,OG,15,25,Texas A&M,,,
cincinnati-bengals,50,Glenn Cameron,LB,15,26,Florida,,,
cincinnati-bengals,59,Howie Kurnick,LB,15,22,Cincinnati,,,
cincinnati-bengals,85,Isaac Curtis,WR,16,29,San Diego State,,,
cincinnati-bengals,12,Jack Thompson,QB,9,23,Washington State,,,
cincinnati-bengals,81,James Corbett,TE,10,24,Pittsburgh,,,
cincinnati-bengals,21,Jim Browner,DB,16,23,Notre Dame,,,
cincinnati-bengals,55,Jim LeClair,LB,16,29,North Dakota,,,
cincinnati-bengals,14,Ken Anderson,QB,15,30,Augustana (IL),,,
cincinnati-bengals,13,Ken Riley,DB,13,32,Florida A&M,,,
cincinnati-bengals,34,Louis Breeden,DB,10,26,North Carolina Central,,,
cincinnati-bengals,72,Mack Mitchell,DE,13,27,Houston,,,
cincinnati-bengals,66,Mark Donahue,OG,16,23,Michigan,,,
cincinnati-bengals,24,Marvin Cobb,DB,14,26,Southern California,,,
cincinnati-bengals,65,Max Montoya,OG,11,23,UCLA,,,
cincinnati-bengals,88,Mike Levenseller,WR,12,23,Washington State,,,
cincinnati-bengals,63,Mike White,DT,16,22,Albany State,,,
cincinnati-bengals,77,Mike Wilson,OT,16,24,Georgia,,,
cincinnati-bengals,35,Nathan Poole,RB,16,22,Louisville,,,
cincinnati-bengals,87,Pat McInally,P,16,26,Harvard,,,
cincinnati-bengals,46,Pete Johnson,RB,16,25,Ohio State,,,
cincinnati-bengals,44,Ray Griffin,DB,12,23,Ohio State,,,
cincinnati-bengals,57,Reggie Williams,LB,12,25,Dartmouth,,,
