team,jersey,name,pos,games,age,college,mover,also,resolved
new-england-patriots,25,Rick Sanford,DB,16,22,South Carolina,,,
new-england-patriots,56,Rod Shoate,LB,14,26,Oklahoma,,,
new-england-patriots,81,Russ Francis,TE,12,26,Oregon,,,
new-england-patriots,61,Sam Adams,OG,15,31,Prairie View A&M,,,
new-england-patriots,39,Sam Cunningham,RB,12,29,Southern California,,,
new-england-patriots,50,Sam Hunt,LB,15,28,Stephen F. Austin,,,
new-england-patriots,74,Shelby Jordan,OT,14,27,Washington (MO),,,
new-england-patriots,86,Stanley Morgan,WR,16,24,Tennessee,,,
new-england-patriots,14,Steve Grogan,QB,16,26,Kansas State,,,
new-england-patriots,52,Steve King,LB,16,28,Tulsa,,,
new-england-patriots,57,Steve Nelson,LB,15,28,North Dakota State,,,
new-england-patriots,68,Terry Falcon,OG,10,24,Montana,,,
new-england-patriots,48,Tim Fox,DB,16,26,Ohio State,,,
new-england-patriots,17,Tom Owen,QB,6,27,Wichita State,,,
new-england-patriots,78,Tony McGee,DE,16,30,Bishop,,,
new-orleans-saints,8,Archie Manning,QB,16,30,Mississippi,,,
new-orleans-saints,63,Barry Bennett,DT,16,23,Concordia-Moorhead,,,
new-orleans-saints,12,Bobby Scott,QB,3,30,Tennessee,,,
new-orleans-saints,88,Brooks Williams,TE,16,24,North Carolina,,,
new-orleans-saints,42,Chuck Muncie,RB,16,26,California,,,
new-orleans-saints,24,Clarence Chapman,DB,16,25,Eastern Michigan,,,
new-orleans-saints,66,Conrad Dobler,OG,16,29,Wyoming,,,
new-orleans-saints,64,Dave Lafary,OT,16,24,Purdue,,,
new-orleans-saints,21,David Gray,DB,16,24,San Diego State,,,
new-orleans-saints,74,Derland Moore,DT,15,28,Oklahoma,,,
new-orleans-saints,60,Don Reese,DE,16,28,Jackson State,,,
new-orleans-saints,48,Donald Schwartz,DB,14,23,Washington State,,,
new-orleans-saints,11,Ed Burns,QB,16,24,Nebraska,,,
new-orleans-saints,5,Elex Price,DT,6,29,Alcorn State,,,
new-orleans-saints,78,Elois Grooms,DE,16,26,Tennessee Tech,,,
new-orleans-saints,79,Emanuel Zanders,OG,16,28,Jackson State,,,
new-orleans-saints,20,Eric Felton,DB,13,24,Texas Tech,,,
new-orleans-saints,68,Fred Sturt,OG,16,28,Bowling Green,,,
new-orleans-saints,1,Garo Yepremian,K,14,35,,,,
new-orleans-saints,85,Henry Childs,TE,16,28,Kansas State,,,
new-orleans-saints,82,Ike Harris,WR,14,26,Iowa State,,,
new-orleans-saints,71,J.T. Taylor,OT,16,23,Missouri,,,
new-orleans-saints,45,Jack Holmes,RB,16,26,Texas Southern,,,
new-orleans-saints,52,Jim Kovach,LB,16,23,Kentucky,,,
new-orleans-saints,57,Jim Merlo,LB,16,28,Stanford,,,
new-orleans-saints,76,Jim Pietrzak,C,14,26,Eastern Michigan,yes,new-york-giants:3,games
new-orleans-saints,73,Joe Campbell,DE,10,24,Maryland,,,
new-orleans-saints,58,Joe Federspiel,LB,16,29,Kentucky,,,
new-orleans-saints,62,John Hill,C,16,29,Lehigh,,,
new-orleans-saints,67,John Watson,OT,5,30,Oklahoma,,,
new-orleans-saints,50,Ken Bordelon,LB,16,25,Louisiana State,,,
new-orleans-saints,32,Kim Jones,RB,2,27,Colorado State,,,
new-orleans-saints,87,Larry Hardy,TE,16,23,Jackson State,,,
new-orleans-saints,33,Michael Strachan,RB,10,26,Iowa State,,,
new-orleans-saints,72,Mike Fultz,DT,13,25,Nebraska,,,
new-orleans-saints,54,Pat Hughes,LB,16,32,Boston University,,,
new-orleans-saints,49,Ralph McGill,DB,13,29,Tulsa,,,
new-orleans-saints,27,Ray Brown,DB,12,30,West Texas A&M,,,
new-orleans-saints,56,Reggie Mathis,LB,16,23,Oklahoma,,,
new-orleans-saints,84,Rich Mauti,WR,15,25,Penn State,,,
new-orleans-saints,17,Rick Partridge,P,13,22,Utah,,,
new-orleans-saints,22,Ricky Ray,DB,6,22,Norfolk State,,,
new-orleans-saints,65,Robert Woods,OT,15,29,Tennessee State,,namesake,
new-orleans-saints,63,Roger Finnie,OT,8,33,Florida A&M,,,
new-orleans-saints,14,Russell Erxleben,P,1,22,Texas,,,
new-orleans-saints,83,Tinker Owens,WR,13,25,Oklahoma,,,
new-orleans-saints,37,Tom Myers,DB,15,29,Syracuse,,,
new-orleans-saints,34,Tony Galbreath,RB,15,25,Missouri,,,
new-orleans-saints,30,Wayne Wilson,RB,14,22,Shepherd,,,
new-orleans-saints,89,Wes Chandler,WR,16,23,Florida,,,
new-york-giants,84,Al Dixon,TE,8,25,Iowa State,yes,kansas-city-chiefs:3,games
new-york-giants,45,Alan Caldwell,DB,16,23,North Carolina,,,
new-york-giants,28,Beasley Reece,DB,16,25,North Texas,,,
new-york-giants,38,Billy Taylor,RB,16,23,Texas Tech,,,
new-york-giants,60,Brad Benson,OT,10,23,Penn State,,,
new-york-giants,10,Brad Van Pelt,LB,16,28,Michigan State,,,
new-york-giants,55,Brian Kelley,LB,16,28,California Lutheran,,,
new-york-giants,76,Calvin Miller,DT,11,26,Oklahoma State,,,
new-york-giants,81,Cleveland Jackson,TE,2,23,Nevada-Las Vegas,,,
new-york-giants,65,Dan Fowler,OG,1,23,Kentucky,,,
new-york-giants,54,Dan Lloyd,LB,13,25,Washington,,,
new-york-giants,13,Dave Jennings,P,16,27,St. Lawrence,,,
new-york-giants,44,Doug Kotar,RB,16,28,Kentucky,,,
new-york-giants,63,Doug Van Horn,OG,15,35,Ohio State,,,
new-york-giants,88,Dwight Scales,WR,15,26,Grambling,,,
new-york-giants,83,Earnest Gray,WR,16,22,Memphis,,,
new-york-giants,29,Eddie Hicks,RB,14,24,East Carolina,,,
new-york-giants,80,Emery Moorehead,TE,13,25,Colorado,,,
new-york-giants,31,Ernie Jones,DB,5,26,Miami,,,
new-york-giants,51,Frank Marion,LB,16,28,Florida A&M,,,
new-york-giants,70,Gary Jeter,DE,16,24,Southern California,,,
new-york-giants,87,Gary Shirk,TE,16,29,Morehead State,,,
new-york-giants,84,Gene Washington,WR,2,26,Georgia,,namesake,
new-york-giants,75,George Martin,DE,16,26,Oregon,,,
new-york-giants,72,Gordon King,OT,7,23,Stanford,,,
new-york-giants,78,Gus Coppens,OT,9,24,UCLA,,,
new-york-giants,53,Harry Carson,LB,16,25,South Carolina State,,,
new-york-giants,68,J.T. Turner,OG,16,26,Duke,,,
new-york-giants,73,Jeff Weston,OT,16,23,Notre Dame,,,
new-york-giants,56,Jim Clack,C,16,32,Wake Forest,,,
new-york-giants,85,Jim Robinson,WR,11,26,Georgia Tech,,,
new-york-giants,18,Joe Danelo,K,16,26,Washington State,,,
new-york-giants,9,Joe Pisarcik,QB,4,27,New Mexico State,,,
new-york-giants,64,John Mendenhall,DT,13,30,Grambling,,,
new-york-giants,57,John Skorupan,LB,14,28,Penn State,,,
new-york-giants,86,Johnny Perkins,WR,13,26,Abilene Christian,,,
new-york-giants,58,Keith Eck,C,13,23,UCLA,,,
new-york-giants,48,Ken Johnson,RB,9,22,Miami,,namesake,
new-york-giants,89,Loaird McCreary,TE,11,26,Tennessee State,,,
new-york-giants,79,Mike McCoy,DT,3,31,Notre Dame,,namesake,
new-york-giants,23,Odis McKinney,DB,15,22,Colorado,,,
new-york-giants,11,Phil Simms,QB,12,23,Morehead State,,,
new-york-giants,80,Philip Tabor,DE,15,22,Oklahoma,,,
new-york-giants,59,Randy Coffield,LB,9,25,Florida State,,,
new-york-giants,15,Randy Dean,QB,16,24,Northwestern,,,
new-york-giants,25,Ray Oldham,DB,15,28,Middle Tennessee State,,,
new-york-giants,22,Ray Rhodes,DB,15,29,Tulsa,,,
new-york-giants,62,Ron Mikolajczyk,OT,1,29,Tampa,,,
new-york-giants,69,Roy Simmons,OG,16,22,Georgia Tech,,,
new-york-giants,24,Terry Jackson,DB,16,23,San Diego State,,,
new-york-giants,81,Tom Mullady,WR,2,22,Rhodes,,,
new-york-giants,74,Tom Neville,OT,14,36,Mississippi State,,,
new-york-jets,74,Abdul Salaam,DT,12,26,Kent State,,,
new-york-jets,86,Bob Raba,TE,8,24,Maryland,,,
new-york-jets,71,Bob Winkel,DT,15,24,Kentucky,,,
new-york-jets,40,Bobby Jackson,DB,16,22,Florida State,,,
new-york-jets,89,Bobby Jones,WR,10,24,Millikin,,,
new-york-jets,42,Bruce Harper,RB,16,24,Kutztown,,,
new-york-jets,22,Burgess Owens,DB,16,28,Miami,,,
new-york-jets,72,Chris Ward,OT,16,23,Ohio State,,,
new-york-jets,15,Chuck Ramsey,P,16,27,Wake Forest,,,
new-york-jets,21,Clark Gaines,RB,16,25,Wake Forest,,,
new-york-jets,60,Dan Alexander,OG,16,24,Louisiana State,,,
new-york-jets,1,Dave Jacobs,K,4,22,Syracuse,,,
new-york-jets,81,Derrick Gaffney,WR,16,24,Florida,,,
new-york-jets,26,Donald Dykes,DB,16,24,Southeastern Louisiana,,,
new-york-jets,67,Ed McGlasson,C,7,23,Youngstown State,,,
new-york-jets,68,Eric Cunningham,OG,11,22,Penn State,,,
new-york-jets,51,Greg Buttle,LB,16,25,Penn State,,,
new-york-jets,83,Jerome Barkum,TE,13,29,Jackson State,,,
new-york-jets,65,Joe Fields,C,15,25,Widener,,,
new-york-jets,73,Joe Klecko,DT,16,26,Temple,,,
new-york-jets,77,Joe Pellegrini,DT,4,23,Idaho,,,
new-york-jets,63,John Hennessy,LB,16,24,Michigan,,,
new-york-jets,61,John Roman,OT,16,27,Idaho State,,,
new-york-jets,50,John Sullivan,LB,12,23,Illinois,,,
new-york-jets,29,Johnny Lynn,DB,16,22,UCLA,,,
new-york-jets,48,Ken Schroy,DB,16,27,Maryland,,,
new-york-jets,33,Kevin Long,RB,12,24,South Carolina,,,
new-york-jets,76,Lawrence Pillers,DE,16,26,Alcorn State,,,
new-york-jets,99,Mark Gastineau,DE,16,22,East Central (OK),,,
new-york-jets,93,Marty Lyons,DT,16,22,Alabama,,,
new-york-jets,79,Marvin Powell,OT,16,24,Southern California,,,
new-york-jets,17,Matt Robinson,QB,15,24,Georgia,,,
new-york-jets,82,Mickey Shuler,TE,16,23,Penn State,,,
new-york-jets,53,Mike McKibben,LB,16,23,Kent State,,,
new-york-jets,5,Pat Leahy,K,6,28,St. Louis,,,
new-york-jets,4,Pat Ryan,QB,1,24,Tennessee,,,
new-york-jets,84,Paul Darby,WR,15,23,Texas State,,,
new-york-jets,66,Randy Rasmussen,OG,16,34,Nebraska-Kearney,,,
new-york-jets,14,Richard Todd,QB,15,25,Alabama,,,
new-york-jets,10,Richie Szaro,K,1,31,Harvard,,,
new-york-jets,80,Roger Farmer,WR,4,23,Baker,,,
new-york-jets,55,Ron Crosby,LB,12,24,Penn State,,,
new-york-jets,25,Scott Dierking,RB,16,24,Purdue,,,
new-york-jets,23,Shafer Suggs,DB,16,26,Ball State,,,
new-york-jets,54,Stan Blinka,LB,16,22,Sam Houston State,,,
new-york-jets,70,Stan Waldemore,OG,16,24,Nebraska,,,
new-york-jets,37,Tim Moresco,DB,16,25,Syracuse,,,
new-york-jets,44,Tom Newton,RB,16,25,California,,,
new-york-jets,2,Toni Linhart,K,8,37,Austria Tech School,yes,baltimore-colts:3,games
new-york-jets,85,Wesley Walker,WR,9,24,California,,,
new-york-jets,46,Woody Bennett,RB,15,24,Miami,,,
oakland-raiders,78,Art Shell,OT,11,32,Maryland Eastern Shore,,,
oakland-raiders,22,Art Whittington,RB,9,24,Southern Methodist,,,
oakland-raiders,34,Booker Russell,RB,16,23,Texas State,,,
oakland-raiders,79,Bruce Davis,OT,12,23,UCLA,,,
oakland-raiders,77,Charles Philyaw,DE,12,25,Texas Southern,,,
oakland-raiders,47,Charlie Phillips,DB,16,26,Southern California,,,
oakland-raiders,26,Clarence Hawkins,RB,7,23,Florida A&M,,,
oakland-raiders,21,Cliff Branch,WR,14,31,Colorado,,,
oakland-raiders,67,Dan Medlin,OG,15,30,North Carolina State,,,
oakland-raiders,73,Dave Browning,DE,16,23,Washington,,,
oakland-raiders,87,Dave Casper,TE,15,28,Notre Dame,,,
oakland-raiders,50,Dave Dalby,C,16,29,UCLA,,,
oakland-raiders,74,Dave Pear,DT,16,26,Washington,,,
oakland-raiders,11,David Humm,QB,16,27,Nebraska,,,
oakland-raiders,31,Derrick Jensen,RB,16,23,Texas-Arlington,,,
oakland-raiders,84,Derrick Ramsey,TE,16,22,Kentucky,,,
oakland-raiders,63,Gene Upshaw,OG,16,34,Texas A&M-Kingsville,,,
oakland-raiders,70,Henry Lawrence,OT,16,28,Florida A&M,,,
oakland-raiders,45,Henry Williams,DB,16,22,San Diego State,,,
oakland-raiders,43,Ira Matthews,RB,16,22,Wisconsin,,,
oakland-raiders,32,Jack Tatum,DB,16,30,Ohio State,,,
oakland-raiders,56,Jeff Barnes,LB,16,24,California,,,
oakland-raiders,5,Jim Breech,K,16,23,California,,,
oakland-raiders,16,Jim Plunkett,QB,4,31,Stanford,,,
oakland-raiders,68,Joe Bell,DE,1,23,Norfolk State,,,
oakland-raiders,80,Joe Stewart,WR,3,23,Missouri,,,
oakland-raiders,57,John Huddleston,LB,16,25,Utah,,,
oakland-raiders,72,John Matuszak,DE,12,29,Tampa,,,
oakland-raiders,75,John Vella,OT,11,29,Southern California,,,
oakland-raiders,12,Ken Stabler,QB,16,33,Alabama,,,
oakland-raiders,82,Larry Brunson,WR,11,30,Colorado,,,
oakland-raiders,37,Lester Hayes,DB,16,24,Texas A&M,,,
oakland-raiders,30,Mark van Eeghen,RB,16,27,Colgate,,,
oakland-raiders,65,Mickey Marvin,OG,2,24,Tennessee,,,
oakland-raiders,36,Mike Davis,DB,16,23,Colorado,,,
oakland-raiders,42,Monte Jackson,DB,8,26,San Diego State,,,
oakland-raiders,58,Monte Johnson,LB,16,28,Nebraska,,,
oakland-raiders,81,Morris Bradshaw,WR,3,27,Ohio State,,,
oakland-raiders,67,Pat Toomay,DE,14,34,Vanderbilt,,,
oakland-raiders,41,Phil Villapiano,LB,16,30,Bowling Green,,,
oakland-raiders,8,Ray Guy,P,16,29,Southern Mississippi,,,
oakland-raiders,88,Raymond Chester,TE,14,31,Morgan State,,,
oakland-raiders,62,Reggie Kinlaw,DT,16,22,Oklahoma,,,
oakland-raiders,89,Rich Martini,WR,16,23,California-Davis,,,
oakland-raiders,53,Rod Martin,LB,16,25,Southern California,,,
oakland-raiders,38,Rufus Bess,DB,16,23,South Carolina State,,,
oakland-raiders,66,Steve Sylvester,C,16,26,Notre Dame,,,
oakland-raiders,83,Ted Hendricks,LB,16,32,Miami,,,
oakland-raiders,35,Terry Robiskie,RB,3,24,Louisiana State,,,
oakland-raiders,46,Todd Christensen,TE,13,23,Brigham Young,yes,new-york-giants:1,games
oakland-raiders,90,Willie Jones,DE,16,21,Florida State,,,
philadelphia-eagles,59,Al Chesley,LB,16,22,Pittsburgh,,,
philadelphia-eagles,29,Al Latimer,DB,13,22,Clemson,,,
philadelphia-eagles,66,Bill Bergey,LB,3,34,Arkansas State,,,
philadelphia-eagles,37,Billy Campfield,RB,16,23,Kansas,,,
philadelphia-eagles,23,Bob Howard,DB,16,34,San Diego State,,,
philadelphia-eagles,22,Brenard Wilson,DB,14,24,Vanderbilt,,,
philadelphia-eagles,78,Carl Hairston,DE,15,26,Maryland Eastern Shore,,,
philadelphia-eagles,65,Charlie Johnson,DT,16,27,Colorado,,,
philadelphia-eagles,85,Charlie Smith,WR,16,29,Grambling,,,
philadelphia-eagles,87,Claude Humphrey,DE,16,35,Tennessee State,,,
philadelphia-eagles,26,Deac Sanders,DB,1,29,South Dakota,,,
philadelphia-eagles,68,Dennis Harrison,DE,12,23,Vanderbilt,,,
philadelphia-eagles,32,Earl Carr,RB,1,24,Florida,,,
philadelphia-eagles,55,Frank LeMaster,LB,16,27,Kentucky,,,
philadelphia-eagles,50,Guy Morriss,C,16,28,Texas Christian,,,
philadelphia-eagles,17,Harold Carmichael,WR,16,30,Southern,,,
philadelphia-eagles,46,Herman Edwards,DB,16,25,San Diego State,,,
philadelphia-eagles,82,Jerrold McRae,WR,5,24,Tennessee State,,,
philadelphia-eagles,56,Jerry Robinson,LB,16,22,UCLA,,,
philadelphia-eagles,76,Jerry Sisemore,OT,16,28,Texas,,,
philadelphia-eagles,95,John Bunting,LB,15,29,North Carolina,,,
philadelphia-eagles,21,John Sciarra,DB,16,25,UCLA,,,
philadelphia-eagles,88,John Spagnola,TE,16,22,Yale,,,
philadelphia-eagles,10,John Walton,QB,8,32,Elizabeth City State,,,
philadelphia-eagles,84,Keith Krepfle,TE,16,27,Iowa State,,,
philadelphia-eagles,71,Ken Clarke,DT,16,23,Syracuse,,,
philadelphia-eagles,38,Larry Barnes,RB,16,25,Tennessee State,,,
philadelphia-eagles,67,Lem Burnham,DE,16,32,U.S. International,,,
philadelphia-eagles,20,Leroy Harris,RB,15,25,Arkansas State,,,
philadelphia-eagles,33,Louie Giammona,RB,15,26,Utah State,,,
philadelphia-eagles,79,Manny Sistrunk,DT,16,32,Arkansas-Pine Bluff,,,
philadelphia-eagles,61,Mark Slater,C,16,24,Minnesota,,,
philadelphia-eagles,4,Max Runager,P,16,23,South Carolina,,,
philadelphia-eagles,62,Petey Perot,OG,14,22,Northwestern State,,,
philadelphia-eagles,41,Randy Logan,DB,16,28,Michigan,,,
philadelphia-eagles,52,Ray Phillips,LB,11,25,Nebraska,,,
philadelphia-eagles,51,Reggie Wilkes,LB,16,23,Georgia Tech,,,
philadelphia-eagles,27,Richard Blackmore,DB,16,23,Mississippi State,,,
philadelphia-eagles,7,Ron Jaworski,QB,16,28,Youngstown State,,,
philadelphia-eagles,77,Rufus Mayes,OT,16,31,Ohio State,,,
philadelphia-eagles,81,Scott Fitzkee,WR,15,22,Penn State,,,
philadelphia-eagles,75,Stan Walters,OT,16,31,Syracuse,,,
philadelphia-eagles,58,Terry Tautolo,LB,16,25,UCLA,,,
philadelphia-eagles,1,Tony Franklin,K,16,22,Texas A&M,,,
philadelphia-eagles,72,Wade Key,OG,12,33,Texas State,,,
philadelphia-eagles,89,Wally Henry,WR,12,25,UCLA,,,
philadelphia-eagles,31,Wilbert Montgomery,RB,16,25,Abilene Christian,,,
philadelphia-eagles,69,Woody Peoples,OG,16,36,Grambling,,,
pittsburgh-steelers,33,Anthony Anderson,RB,16,23,Temple,,,
pittsburgh-steelers,89,Bennie Cunningham,TE,15,24,Clemson,,,
pittsburgh-steelers,5,Craig Colquitt,P,16,25,Tennessee,,,
pittsburgh-steelers,53,Dennis Winston,LB,16,24,Arkansas,,,
pittsburgh-steelers,31,Donnie Shell,DB,16,27,South Carolina State,,,
pittsburgh-steelers,49,Dwayne Woodruff,DB,16,22,Louisville,,,
pittsburgh-steelers,78,Dwight White,DE,11,30,Texas A&M-Commerce,,,
pittsburgh-steelers,32,Franco Harris,RB,15,29,Penn State,,,
pittsburgh-steelers,67,Gary Dunn,DT,16,26,Miami,,,
pittsburgh-steelers,72,Gerry Mullins,OG,15,30,Southern California,,,
pittsburgh-steelers,27,Greg Hawthorne,RB,15,23,Baylor,,,
pittsburgh-steelers,24,J.T. Thomas,DB,14,28,Florida State,,,
pittsburgh-steelers,59,Jack Ham,LB,15,30,Penn State,,,
pittsburgh-steelers,58,Jack Lambert,LB,16,27,Kent State,,,
pittsburgh-steelers,86,Jim Smith,WR,15,24,Michigan,,,
pittsburgh-steelers,75,Joe Greene,DT,15,33,North Texas,,,
pittsburgh-steelers,76,John Banaszak,DT,16,29,Eastern Michigan,,,
pittsburgh-steelers,82,John Stallworth,WR,16,27,Alabama A&M,,,
pittsburgh-steelers,55,Jon Kolb,OT,14,32,Oklahoma State,,,
pittsburgh-steelers,68,L.C. Greenwood,DE,12,33,Arkansas-Pine Bluff,,,
pittsburgh-steelers,30,Larry Anderson,DB,16,23,Louisiana Tech,,,
pittsburgh-steelers,79,Larry Brown,OT,15,30,Kansas,,namesake,
pittsburgh-steelers,51,Loren Toews,LB,11,27,California,,,
pittsburgh-steelers,88,Lynn Swann,WR,13,27,Southern California,,,
pittsburgh-steelers,9,Matt Bahr,K,16,23,Penn State,,,
pittsburgh-steelers,47,Mel Blount,DB,16,31,Southern,,,
pittsburgh-steelers,15,Mike Kruczek,QB,8,26,Boston College,,,
pittsburgh-steelers,23,Mike Wagner,DB,8,30,Western Illinois,,,
pittsburgh-steelers,52,Mike Webster,C,16,27,Wisconsin,,,
pittsburgh-steelers,84,Randy Grossman,TE,16,27,Temple,,,
pittsburgh-steelers,39,Rick Moser,RB,16,22,Rhode Island,,,
pittsburgh-steelers,56,Robin Cole,LB,13,24,New Mexico,,,
pittsburgh-steelers,20,Rocky Bleier,RB,16,33,Notre Dame,,,
pittsburgh-steelers,29,Ron Johnson,DB,11,23,Eastern Michigan,,,
pittsburgh-steelers,57,Sam Davis,OG,13,35,Allen,,,
pittsburgh-steelers,38,Sidney Thornton,RB,13,25,Northwestern State,,,
pittsburgh-steelers,77,Steve Courson,OG,16,24,South Carolina,,,
pittsburgh-steelers,64,Steve Furness,DE,12,28,Rhode Island,,,
pittsburgh-steelers,66,Ted Petersen,OT,16,24,Eastern Illinois,,,
pittsburgh-steelers,12,Terry Bradshaw,QB,16,31,Louisiana Tech,,,
pittsburgh-steelers,83,Theo Bell,WR,13,25,Arizona,,,
pittsburgh-steelers,63,Thom Dornbrook,OG,16,22,Kentucky,,,
pittsburgh-steelers,65,Tom Beasley,DE,13,25,Virginia Tech,,,
pittsburgh-steelers,50,Tom Graves,LB,11,23,Michigan State,,,
pittsburgh-steelers,54,Zack Valentine,LB,16,22,East Carolina,,,
san-diego-chargers,24,Artie Owens,RB,16,26,West Virginia,,,
san-diego-chargers,66,Billy Shields,OT,16,26,Georgia Tech,,,
san-diego-chargers,41,Bo Matthews,RB,16,27,Colorado,,,
san-diego-chargers,55,Bob Horn,LB,16,25,Oregon State,,,
san-diego-chargers,84,Bob Klein,TE,15,32,Southern California,,,
san-diego-chargers,56,Bob Rush,C,16,24,Memphis,,,
san-diego-chargers,73,Charles DeJurnett,DT,12,27,San Jose State,,,
san-diego-chargers,18,Charlie Joiner,WR,16,32,Grambling,,,
san-diego-chargers,40,Clarence Williams,RB,16,24,South Carolina,,,
san-diego-chargers,10,Cliff Olander,QB,4,24,New Mexico State,,,
san-diego-chargers,59,Cliff Thrift,LB,16,23,East Central (OK),,,
san-diego-chargers,60,Dan Audick,OT,16,24,Hawaii,,,
san-diego-chargers,14,Dan Fouts,QB,16,28,Oregon,,,
san-diego-chargers,50,Don Goode,LB,12,28,Kansas,,,
san-diego-chargers,62,Don Macek,C,10,25,Boston College,,,
san-diego-chargers,33,Don Woods,RB,15,28,New Mexico,,,
san-diego-chargers,63,Doug Wilkerson,OG,12,32,North Carolina Central,,,
san-diego-chargers,67,Ed White,OG,16,32,California,,,
san-diego-chargers,47,Frank Duncan,DB,4,22,San Francisco State,,,
san-diego-chargers,71,Fred Dean,DE,13,27,Louisiana Tech,,namesake,
san-diego-chargers,79,Gary Johnson,DT,16,27,Grambling,,,
san-diego-chargers,27,Glen Edwards,DB,15,32,Florida A&M,,,
san-diego-chargers,88,Greg McCrary,TE,14,27,Clark Atlanta,,,
san-diego-chargers,45,Hal Stringert,DB,15,27,Willamette,,,
san-diego-chargers,37,Hank Bauer,RB,16,25,California Lutheran,,,
san-diego-chargers,12,James Harris,QB,8,32,Grambling,,,
san-diego-chargers,8,Jeff West,P,16,26,Cincinnati,,,
san-diego-chargers,48,Jerome Dove,DB,16,26,Colorado State,,,
san-diego-chargers,86,John Floyd,WR,8,23,Northeast Louisiana,,,
san-diego-chargers,83,John Jefferson,WR,15,23,Arizona State,,,
san-diego-chargers,69,John Lee,DE,10,26,Nebraska,,,
san-diego-chargers,80,Kellen Winslow,TE,7,21,Missouri,,,
san-diego-chargers,87,Larry Burton,WR,12,27,Purdue,,,
san-diego-chargers,68,Leroy Jones,DE,16,29,Norfolk State,,,
san-diego-chargers,57,Linden King,LB,16,24,Colorado State,,,
san-diego-chargers,74,Louie Kelcher,DT,1,26,Southern Methodist,,,
san-diego-chargers,26,Lydell Mitchell,RB,12,30,Penn State,,,
san-diego-chargers,42,Mike Fuller,DB,16,26,Auburn,,,
san-diego-chargers,22,Mike Thomas,RB,14,26,Nevada-Las Vegas,,,
san-diego-chargers,29,Mike Williams,DB,16,25,Louisiana State,,namesake,
san-diego-chargers,16,Mike Wood,K,12,25,Southeast Missouri State,yes,st-louis-cardinals:3,games
san-diego-chargers,44,Pete Shaw,DB,16,25,Northwestern,,,
san-diego-chargers,53,Ralph Perretta,C,16,26,Purdue,,,
san-diego-chargers,52,Ray Preston,LB,16,25,Syracuse,,,
san-diego-chargers,6,Rolf Benirschke,K,4,24,California-Davis,,,
san-diego-chargers,9,Roy Gerela,K,3,31,New Mexico State,,,
san-diego-chargers,70,Russ Washington,OT,16,32,Missouri,,,
san-diego-chargers,99,Wilbur Young,DE,16,30,William Penn,,,
san-diego-chargers,28,Willie Buchanon,DB,16,28,San Diego State,,,
san-diego-chargers,51,Woodrow Lowe,LB,16,25,Alabama,,,
san-francisco-49ers,79,Al Cowlings,DE,12,32,Southern California,,,
san-francisco-49ers,78,Archie Reese,DT,16,23,Clemson,,,
san-francisco-49ers,82,Bob Bruer,TE,16,26,Mankato State,,,
san-francisco-49ers,38,Bob Ferrell,RB,16,26,UCLA,,,
san-francisco-49ers,54,Bob Martin,LB,15,25,Nebraska,yes,new-york-jets:2,games
san-francisco-49ers,66,Bob Nelson,LB,1,26,Nebraska,,,
san-francisco-49ers,86,Cedrick Hardman,DE,14,31,North Texas,,,
san-francisco-49ers,28,Charles Cornelius,DB,16,27,Bethune-Cookman,,,
san-francisco-49ers,44,Charles Johnson,DB,4,23,Grambling,,namesake,
san-francisco-49ers,57,Dan Bunz,LB,14,24,Long Beach State,,,
san-francisco-49ers,11,Dan Melville,P,16,23,California,,,
san-francisco-49ers,50,Dave Morton,LB,3,24,UCLA,,,
san-francisco-49ers,76,Dwaine Board,DE,16,22,North Carolina A&T,,,
san-francisco-49ers,87,Dwight Clark,WR,16,22,Clemson,,,
san-francisco-49ers,22,Dwight Hicks,DB,8,23,Michigan,,,
san-francisco-49ers,80,Eason Ramson,TE,2,23,Washington State,,,
san-francisco-49ers,24,Eric Johnson,DB,8,27,Washington State,,,
san-francisco-49ers,56,Fred Quillan,C,16,23,Oregon,,,
san-francisco-49ers,88,Freddie Solomon,WR,15,26,Tampa,,,
san-francisco-49ers,29,Gerard Williams,DB,15,27,Langston,,,
san-francisco-49ers,58,Gordy Ceresino,LB,16,22,Stanford,,,
san-francisco-49ers,20,James Owens,RB,16,24,UCLA,,,
san-francisco-49ers,77,Jean Barrett,OT,13,28,Tulsa,,,
san-francisco-49ers,52,Jeff McIntyre,LB,14,24,Arizona State,,,
san-francisco-49ers,74,Jimmy Webb,DT,16,27,Mississippi State,,,
san-francisco-49ers,16,Joe Montana,QB,16,23,Notre Dame,,,
san-francisco-49ers,68,John Ayers,OG,16,26,West Texas A&M,,,
san-francisco-49ers,29,John Bristor,DB,1,23,Waynesburg,,,
san-francisco-49ers,71,Keith Fahnhorst,OT,16,27,Minnesota,,,
san-francisco-49ers,81,Ken MacAfee,TE,16,23,Notre Dame,,,
san-francisco-49ers,35,Lenvil Elliott,RB,16,28,Northeast Missouri State,,,
san-francisco-49ers,46,Melvin Morgan,DB,8,26,Mississippi Valley State,,,
san-francisco-49ers,45,Mike Hogan,RB,2,25,Tennessee-Chattanooga,,,
san-francisco-49ers,84,Mike Shumann,WR,16,24,Florida State,,,
san-francisco-49ers,32,O.J. Simpson,RB,13,32,Southern California,,,
san-francisco-49ers,36,Paul Hofer,RB,15,27,Mississippi,,,
san-francisco-49ers,85,Paul Seal,TE,15,27,Michigan,,,
