name,pos,age,g,povr,team,college
Teddy Farmer,RB,25,2,,st-louis-cardinals,Oregon
Randy Gill,LB,22,8,,st-louis-cardinals,San Jose State
Mark Manges,QB,22,1,,st-louis-cardinals,Maryland
Al Darby,TE,24,6,,tampa-bay-buccaneers,Florida
Dave Farmer,RB,24,3,,tampa-bay-buccaneers,Southern California
Karl Farmer,WR,24,2,,tampa-bay-buccaneers,Pittsburgh
Larry Franklin,WR,23,2,,tampa-bay-buccaneers,Jackson State
Earl Inmon,LB,24,2,,tampa-bay-buccaneers,Bethune-Cookman
Brett Moritz,OG,23,6,,tampa-bay-buccaneers,Nebraska
Mike Curtis,LB,35,13,,washington-redskins,Duke
Chris Hanburger,LB,37,16,,washington-redskins,North Carolina
Billy Kilmer,QB,39,5,,washington-redskins,UCLA
Ron McDole,DE,39,16,,washington-redskins,Nebraska
Jake Scott,DB,33,16,,washington-redskins,Georgia
