round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
9,121,BAL,Walt Rappold,QB,,,0,0,0,,,Duke
9,122,DET,Todd Grant,C,,,0,0,0,,,Michigan
9,123,CLE,Charles Dickerson,T,,,0,0,0,,,Illinois
9,124,PHI,Bob Butler,G,21,1963,0,0,0,2,2,Kentucky
9,125,NYG,Reed Bohovich,G,20,1962,0,0,1,4,4,Lehigh
9,126,GNB,Pete Schenck,B,,,0,0,0,,,Washington St.
10,127,WAS,John Childress,G,,,0,0,0,,,Arkansas
10,128,RAM,Jim Norris,DT,22,1964,0,0,0,6,,Houston
10,129,CLE,Jerry Goerlitz,C,,,0,0,0,,,Northern Michigan
10,130,DAL,John Longmeyer,G,,,0,0,0,,,Southern Illinois
10,131,STL,George Francovitch,G,,,0,0,0,,,Syracuse
10,132,PIT,Larry Vignali,G,,,0,0,0,,,Pittsburgh
10,133,CHI,LeRoy Weaver,B,,,0,0,0,,,Adams St.
10,134,SFO,Regis Coustillac,G,,,0,0,0,,,Pittsburgh
10,135,BAL,Fred Moore,DT,22,1966,0,0,0,7,,Memphis
10,136,DET,Jerry Archer,C,,,0,0,0,,,Pittsburg St.
10,137,CLE,Albert White,B,,,0,0,0,,,Capital
10,138,NYG,J.R. Williams,C,,,0,0,0,,,Fresno St.
10,139,PHI,Jim Skaggs,G,22,1972,0,0,4,34,34,Washington
10,140,GNB,Gale Weidner,QB,,,0,0,0,,,Colorado
11,141,WAS,Carl Palazzo,T,,,0,0,0,,,Adams St.
11,142,CLE,Ron Meyers,E,,,0,0,0,,,Villanova
11,143,RAM,Bert Wilder,DE,23,1967,0,0,0,14,,North Carolina St.
11,144,DAL,Larry Hudas,E,,,0,0,0,,,Michigan St.
11,145,PIT,Bob Wills,E,,,0,0,0,,,California
11,146,STL,Jimmy Saxton,HB,22,1962,0,0,0,1,,Texas
11,147,CHI,Jerry Robinson,FL,23,1965,0,0,2,10,,Grambling St.
11,148,SFO,Larry Jepson,C,,,0,0,0,,,Furman
11,149,BAL,Scott Tyler,B,,,0,0,0,,,Miami (OH)
11,150,DET,Karl Anderson,T,,,0,0,0,,,Bowling Green
11,151,CLE,Clifton McNeil,WR,22,1973,1,1,3,31,2,Grambling St.
11,152,PHI,George Horne,T,,,0,0,0,,,BYU
11,153,NYG,Dave Bishop,B,,,0,0,0,,,Connecticut
11,154,GNB,Jim Thrush,T,,,0,0,0,,,Xavier (OH)
12,155,WAS,Terry Terrebonne,HB,,,0,0,0,,,Tulane
