season,league,source_file,teams,players,league_size,share,block_is,already_published,identifying_names,franchises
1990,NFL,MuscleMike-LM67,6,287,28,21%,notable teams,,"Ronnie Lott, Tom Rathman, Jerry Rice",Buffalo Bills; Kansas City Chiefs; Los Angeles Raiders; New York Giants; Philadelphia Eagles; San Francisco 49ers
1991,NFL,MuscleMike-LM67,5,238,28,18%,notable teams,,"Greg Kragen, David Treadwell, John Elway",Atlanta Falcons; Buffalo Bills; Denver Broncos; Detroit Lions; Washington Redskins
1991,NFL,Mike-NFL1970-1974,1,49,28,4%,notable teams,,"John Elway, Greg Kragen, David Treadwell",Denver Broncos
1991,NFL,Mike-NFL1975-1979,1,48,28,4%,notable teams,,"Chip Lohmiller, Charles Mann, Mark Schlereth",Washington Redskins
1991,NFL,Mike-NFL1980-1989,1,48,28,4%,notable teams,,"Bruce Smith, Will Wolford, Jim Ritcher",Buffalo Bills
1992,NFL,MuscleMike-LM67,6,292,28,21%,notable teams,,"Darryl Johnston, Charles Haley, Nate Newton",Buffalo Bills; Dallas Cowboys; Green Bay Packers; Houston Oilers; New Orleans Saints; San Francisco 49ers
1992,NFL,1976Roster,1,47,28,4%,notable teams,,"Bruce Smith, Jim Kelly, Steve Christie",Buffalo Bills
1993,NFL,MuscleMike-LM67,2,98,28,7%,notable teams,,"Darryl Johnston, Charles Haley, Nate Newton",Buffalo Bills; Dallas Cowboys
1994,NFL,MuscleMike-LM67,3,148,28,11%,notable teams,,"Steve Young, Rickey Jackson, Jerry Rice",Dallas Cowboys; San Diego Chargers; San Francisco 49ers
1995,NFL,MuscleMike-LM67,4,199,30,13%,notable teams,,"Chris Gardocki, Marshall Faulk, Cary Blanchard",Dallas Cowboys; Indianapolis Colts; Kansas City Chiefs; Pittsburgh Steelers
1995,NFL,Mike-NFL1941-1969,1,51,30,3%,notable teams,,"Barry Sanders, Kevin Glover, Mark Royals",Detroit Lions
1996,NFL,1996Roster,30,1508,30,100%,full league,,"Michael Strahan, Brad Daluiso, Mike Horan",Arizona Cardinals; Atlanta Falcons; Baltimore Ravens; Buffalo Bills; Carolina Panthers; Chicago Bears; Cincinnati Bengals; Dallas Cowboys; Denver Broncos; Detroit Lions; Green Bay Packers; Houston Oilers; Indianapolis Colts; Jacksonville Jaguars; Kansas City Chiefs; Miami Dolphins; Minnesota Vikings; New England Patriots; New Orleans Saints; New York Giants; New York Jets; Oakland Raiders; Philadelphia Eagles; Pittsburgh Steelers; San Diego Chargers; San Francisco 49ers; Seattle Seahawks; St. Louis Rams; Tampa Bay Bucs; Washington Redskins
1996,NFL,MuscleMike-LM67,5,243,30,17%,notable teams,,"Howard Griffith, Matt Elliott, Greg Skrepenak",Carolina Panthers; Denver Broncos; Green Bay Packers; Jacksonville Jaguars; New England Patriots
1996,NFL,Mike-NFL1970-1974,4,197,30,13%,notable teams,,"Dan Stryzinski, Morten Andersen, Bob Whitfield",Atlanta Falcons; Carolina Panthers; Green Bay Packers; New England Patriots
1996,NFL,Mike-NFL1975-1979,1,52,30,3%,notable teams,,"Barry Sanders, Kevin Glover, Mark Royals",Detroit Lions
1997,NFL,MuscleMike-LM67,2,97,30,7%,notable teams,,"Craig Hentrich, Reggie White, Brett Favre",Denver Broncos; Green Bay Packers
1997,NFL,Mike-NFL1970-1974,1,48,30,3%,notable teams,,"Jason Elam, Tom Rouen, John Elway",Denver Broncos
1997,NFL,Mike-NFL1975-1979,1,49,30,3%,notable teams,,"Craig Hentrich, Reggie White, Brett Favre",Green Bay Packers
1998,NFL,MuscleMike-LM67,5,246,30,17%,notable teams,,"Dan Stryzinski, Morten Andersen, Bob Whitfield",Atlanta Falcons; Denver Broncos; Green Bay Packers; Minnesota Vikings; San Francisco 49ers
1998,NFL,1966Roster,1,52,30,3%,notable teams,,"Mitch Berger, Randall McDaniel, John Randle",Minnesota Vikings
1999,NFL,MuscleMike-LM67,2,100,31,6%,notable teams,,"Jevon Kearse, Al Del Greco, Craig Hentrich",St. Louis Rams; Tennessee Titans
2000,NFL,MuscleMike-LM67,1,53,31,3%,notable teams,yes,"Ray Lewis, Jonathan Ogden, Matt Stover",Baltimore Ravens
2001,NFL,MuscleMike-LM67,2,100,31,6%,notable teams,,"Orlando Pace, Marshall Faulk, Jeff Wilkins",New England Patriots; St. Louis Rams
2002,NFL,MuscleMike-LM67,2,99,32,6%,notable teams,,"Rich Gannon, Rod Woodson, Lincoln Kennedy",Oakland Raiders; Tampa Bay Bucs
