season,team,w,l,t,pf,pa,pf_rank,pa_rank,n_teams
1969,Dallas Cowboys,11,2,1,369,223,3,5,26
1969,Washington Redskins,7,5,2,307,319,10,16,26
1969,New Orleans Saints,5,9,0,311,393,9,25,26
1969,Philadelphia Eagles,4,9,1,279,377,14,23,26
1969,Minnesota Vikings,12,2,0,379,133,1,1,26
1969,Detroit Lions,9,4,1,259,188,22,3,26
1969,Green Bay Packers,8,6,0,269,221,19,4,26
1969,Chicago Bears,1,13,0,210,339,26,19,26
1969,Cleveland Browns,10,3,1,351,300,6,14,26
1969,New York Giants,6,8,0,264,298,21,13,26
1969,St. Louis Cardinals,4,9,1,314,389,8,24,26
1969,Pittsburgh Steelers,1,13,0,218,404,25,26,26
1969,Los Angeles Rams,11,3,0,320,243,7,7,26
1969,Baltimore Colts,8,5,1,279,268,15,8,26
1969,Atlanta Falcons,6,8,0,276,268,18,9,26
1969,San Francisco 49ers,4,8,2,277,319,17,17,26
1970,Cincinnati Bengals,8,6,0,312,255,7,9,26
1970,Cleveland Browns,7,7,0,286,265,13,13,26
1970,Pittsburgh Steelers,5,9,0,210,272,21,16,26
1970,Houston Oilers,3,10,1,217,352,20,25,26
1970,Baltimore Colts,11,2,1,321,234,6,7,26
1970,Miami Dolphins,10,4,0,297,228,11,5,26
1970,New York Jets,4,10,0,255,286,17,18,26
1970,Buffalo Bills,3,10,1,204,337,23,23,26
1970,Boston Patriots,2,12,0,149,361,26,26,26
1970,Oakland Raiders,8,4,2,300,293,9,19,26
1970,Kansas City Chiefs,7,5,2,272,244,15,8,26
1970,San Diego Chargers,5,6,3,282,278,14,17,26
1970,Denver Broncos,5,8,1,253,264,18,12,26
1970,Minnesota Vikings,12,2,0,335,143,3,1,26
1970,Detroit Lions,10,4,0,347,202,2,2,26
1970,Green Bay Packers,6,8,0,196,293,24,20,26
1970,Chicago Bears,6,8,0,256,261,16,10,26
1970,Dallas Cowboys,10,4,0,299,221,10,4,26
1970,New York Giants,9,5,0,301,270,8,15,26
1970,St. Louis Cardinals,8,5,1,325,228,4,6,26
1970,Washington Redskins,6,8,0,297,314,12,21,26
1970,Philadelphia Eagles,3,10,1,241,332,19,22,26
1970,San Francisco 49ers,10,3,1,352,267,1,14,26
1970,Los Angeles Rams,9,4,1,325,202,5,3,26
1970,Atlanta Falcons,4,8,2,206,261,22,11,26
1970,New Orleans Saints,2,11,1,172,347,25,24,26
1971,Cleveland Browns,9,5,0,285,273,10,10,26
1971,Pittsburgh Steelers,6,8,0,246,292,17,17,26
1971,Houston Oilers,4,9,1,251,330,16,22,26
1971,Cincinnati Bengals,4,10,0,284,265,11,9,26
1971,Miami Dolphins,10,3,1,315,174,4,3,26
1971,Baltimore Colts,10,4,0,313,140,5,2,26
1971,New England Patriots,6,8,0,238,325,19,21,26
1971,New York Jets,6,8,0,212,299,23,19,26
1971,Buffalo Bills,1,13,0,184,394,26,26,26
1971,Kansas City Chiefs,10,3,1,302,208,8,5,26
1971,Oakland Raiders,8,4,2,344,278,2,14,26
1971,San Diego Chargers,6,8,0,311,341,7,23,26
1971,Denver Broncos,4,9,1,203,275,24,11,26
1971,Minnesota Vikings,11,3,0,245,139,18,1,26
1971,Detroit Lions,7,6,1,341,286,3,16,26
1971,Chicago Bears,6,8,0,185,276,25,12,26
1971,Green Bay Packers,4,8,2,274,298,13,18,26
1971,Dallas Cowboys,11,3,0,406,222,1,7,26
1971,Washington Redskins,9,4,1,276,190,12,4,26
