year,identifier,league_wide,restricted,title
1966,redskins-1966-media-guide-washington-cbd,False,,Washington Redskins 1966 Media Guide
1966,steelers-1966-media-guide-pittsburgh-b,False,,Pittsburgh Steelers 1966 Media Guide
1966,vikings-1966,False,,Minnesota Vikings 1966 Media Guide Cover
1967,bears-1967-media-guide-chicago-c,False,,Chicago Bears 1967 Media Guide
1967,broncos-1967-media-guide-denver,False,,Denver Broncos 1967 Media Guide
1967,browns-1967,False,,Cleveland Browns 1967 Media Guide Cover
1967,buffalo-bills-1967-media-guide-cover,False,,Buffalo Bills 1967 Media Guide Cover
1967,cardinals-1967,False,,St. Louis Cardinals 1967 Media Guide Cover
1967,chargers-1967,False,,San Diego Chargers 1967 Media Guide Cover
1967,colts-1967-media-guide-baltimore,False,,Baltimore Colts 1967 Media Guide
1967,cowboys-1967-media-guide-dallas,False,,Dallas Cowboys 1967 Media Guide
1967,dolphins-1967-media-guide-miami,False,,Miami Dolphins 1967 Media Guide
1967,falcons-1967,False,,Atlanta Falcons 1967 Media Guide Cover
1967,giants-1967-media-guide-new-york-c,False,,New York Giants 1967 Media Guide
1967,jets-1967-media-guide-new-york-c,False,,New York Jets 1967 Media Guide
1967,kansas-city-chiefs-1967-media-guide-cover,False,,Kansas City Chiefs 1967 Media Guide Cover
1967,lions-1967-media-guide-detroit-c,False,,Detroit Lions 1967 Media Guide
1967,oakland-raiders-1967-media-guide-cover,False,,Oakland Raiders 1967 Media Guide Cover
1967,packers-1967-media-guide-green-bay-c,False,,Green Bay Packers 1967 Media Guide
1967,patriots-1967-media-guide-boston-b,False,,Boston Patriots 1967 Media Guide
1967,philadelphia-eagles-1967-media-guide-cover,False,,Philadelphia Eagles 1967 Media Guide Cover
1967,rams-1967,False,,Los Angeles Rams 1967 Media Guide Cover
1967,redskins-1967-media-guide-washington-cbd,False,,Washington Redskins 1967 Media Guide
1967,steelers-1967,False,,Pittsburgh Steelers 1967 Media Guide
1967,vikings-1967,False,,Minnesota Vikings 1967 Media Guide Cover
1968,49ers-1968,False,,San Francisco 49ers 1968 Media Guide
1968,bears-1968-media-guide-chicago-b,False,,Chicago Bears 1968 Media Guide
1968,bengals-1968,False,,Cincinnati Bengals 1968 Media Guide Cover
1968,bills-1968-media-guide-buffalo-cbd,False,,Buffalo Bills 1968 Media Guide
