team,name,roles
CIN,Frank Gansz,Special Teams Assistant
CIN,Kim Wood,Strength and Conditioning
DET,Monte Clark,Head Coach
DET,Marty Schottenheimer,Linebackers
DET,Billy Atkins,Defensive Backs
DET,Don Doll,Special Assistant
DET,Fred Hoaglin,Offensive Line
DET,Larry Pasquale,Special Teams Assistant
DET,Floyd Peters,Defensive Line
DET,Jimmy Raye,Running Backs
DET,Bob Schnelker,Quarterbacks
GB,Bart Starr,Head Coach
GB,Zeke Bratkowski,Quarterbacks
GB,Lew Carpenter,Wide Receivers
GB,Bill Curry,Offensive Line
GB,Dave Hanner,Assistant Head Coach
GB,Ernie McMillan,Offensive Line
GB,John Meyer,Linebackers
GB,Dick Rehbein,Special Assistant
GB,Dick LeBeau,Defensive Backs
GB,Fred Von Appen,Special Teams Assistant
BAL,Ted Marchibroda,Head Coach
BAL,Maxie Baughan,Defensive Coordinator
BAL,Eddie Khayat,Defensive Line
BAL,George Boutselis,Special Teams Assistant
BAL,John Symank,Defensive Backs
BAL,Ernie Zwahlen,Offensive Line
BAL,Dick Bielski,Wide Receivers
KC,Marv Levy,Head Coach
KC,Bobby Ross,Special Teams Assistant
KC,Rod Rust,Defensive Coordinator
KC,Rick Abernathy,Strength and Conditioning
KC,Walt Corey,Defensive Line
KC,Kay Dalton,Wide Receivers
KC,Tom Pagna,Running Backs
KC,Dick Roach,Defensive Backs
KC,Joe Spencer,Offensive Line
LAC,Don Coryell,Head Coach
LAC,Joe Gibbs,Offensive Coordinator
LAC,Jim Hanifan,Assistant Head Coach
LAC,Earnel Durden,Running Backs
LAC,Wayne Sevier,Special Teams Assistant
LAC,Jacki Simpson,Defensive Coordinator
LAC,Larrye Weaver,Defensive Backs
LAC,Ernie Zampese,Wide Receivers
LAR,Ray Malavasi,Head Coach
LAR,Jack Faulkner,Offensive Assistant
LAR,Clyde Evans,Strength and Conditioning
LAR,Bill Hickman,Administrative Assistant
LAR,Paul Lanham,Special Teams Assistant
LAR,Frank Lauterbur,Linebackers
LAR,Dan Radakovich,Defensive Coordinator
LAR,Lionel Taylor,Wide Receivers
LAR,Bud Carson,Defensive Backs
LAR,LaVern Torgeson,Defensive Line
NO,Dick Nolan,Head Coach
NO,Dick Stanfel,Offensive Line
NO,Paul Wiggin,Defensive Coordinator
NO,Ed Beard,Linebackers
NO,Whitey Campbell,Special Teams Assistant
NO,Chet Franklin,Defensive Backs
NO,Lamar McHan,Quarterbacks
NO,Ed Hughes,Offensive Coordinator
NO,Tom Pratt,Defensive Line
NYJ,Walt Michaels,Head Coach
NYJ,Pete McCulley,Wide Receivers
NYJ,Bob Fry,Offensive Line
NYJ,Joe Gardi,Linebackers
NYJ,Joe Haering,Special Teams Assistant
NYJ,John Idzik,Offensive Coordinator
NYJ,Bob Ledbetter,Running Backs
NYJ,Johnny Mazur,Defensive Coordinator
NYJ,Dan Sekanovich,Defensive Line
PHI,Dick Vermeil,Head Coach
PHI,Marion Campbell,Defensive Coordinator
PHI,Sid Gillman,Quality Control
PHI,Chuck Bednarik,Linebackers
PHI,Chuck Clausen,Defensive Line
PHI,Dick Coury,Wide Receivers
PHI,Ken Iman,Offensive Line
PHI,Billy Joe,Running Backs
PHI,Lynn Stiles,Tight Ends
PHI,Fred Bruney,Defensive Backs
PHI,Jerry Wampfler,Offensive Line
SEA,Jack Patera,Head Coach
SEA,Jim Mora,Defensive Line
SEA,Andy MacDonald,Running Backs
SEA,Howard Mudd,Offensive Line
SEA,Larry Peccatiello,Linebackers
SEA,Jerry Rhome,Quarterbacks
SEA,Jack Christiansen,Defensive Backs
SEA,Rusty Tillman,Special Teams Assistant
TB,John McKay,Head Coach
TB,Abe Gibron,Assistant Head Coach
TB,Bill Johnson,Defensive Line
TB,Tom Bass,Defensive Coordinator
TB,George Chaump,Running Backs
TB,Phil Krueger,Special Teams Assistant
TB,Wayne Fontes,Defensive Backs
TB,Bill Nelsen,Quarterbacks
HOU,Bum Phillips,Head Coach
HOU,Joe Bugel,Offensive Line
HOU,Wade Phillips,Defensive Line
HOU,Andy Bourgeois,Running Backs
HOU,Bob Gambold,Defensive Backs
HOU,King Hill,Wide Receivers
HOU,Ed Biles,Defensive Coordinator
HOU,John Paul Young,Linebackers
ARI,Bud Wilkinson,Head Coach
ARI,Larry Wilson,Head Coach
ARI,Rudy Feldman,Defensive Line
ARI,Freddy Glick,Defensive Backs
ARI,Leon McLaughlin,Special Assistant
ARI,Duane Putnam,Offensive Line
ARI,Jim Sweeney,Running Backs
ARI,Tom Bettis,Defensive Coordinator
ARI,Jerry Thompson,Special Teams Assistant
ARI,Harry Gilmer,Quarterbacks
BUF,Chuck Knox,Head Coach
BUF,Ray Prochaska,Offensive Coordinator
BUF,Kay Stephenson,Quarterbacks
BUF,Tom Catlin,Defensive Coordinator
BUF,Jack Donaldson,Wide Receivers
BUF,Steve Moore,Special Assistant
BUF,Elijah Pitts,Running Backs
BUF,Jim Wagstaff,Defensive Backs
BUF,Willie Zapalac,Defensive Line
