season,week,home_team,home_score,away_team,away_score,home_coach,away_coach
2000,5,CAR,13,DAL,16,George Seifert,Dave Campo
2000,5,CLE,0,BAL,12,Chris Palmer,Brian Billick
2000,5,DET,24,MIN,31,Bobby Ross,Dennis Green
2000,5,JAX,13,PIT,24,Tom Coughlin,Bill Cowher
2000,5,STL,57,SD,31,Mike Martz,Mike Riley
2000,5,TEN,28,NYG,14,Jeff Fisher,Jim Fassel
2000,5,CIN,16,MIA,31,Dick LeBeau,Dave Wannstedt
2000,5,DEN,19,NE,28,Mike Shanahan,Bill Belichick
2000,5,GB,24,CHI,27,Mike Sherman,Dick Jauron
2000,5,SF,27,ARI,20,Steve Mariucci,Vince Tobin
2000,5,WAS,20,TB,17,Terry Robiskie,Tony Dungy
2000,5,PHI,38,ATL,10,Andy Reid,Dan Reeves
2000,5,KC,24,SEA,17,Gunther Cunningham,Mike Holmgren
2000,6,CHI,10,NO,31,Dick Jauron,Jim Haslett
2000,6,CIN,14,TEN,23,Dick LeBeau,Jeff Fisher
2000,6,DET,31,GB,24,Bobby Ross,Mike Sherman
2000,6,MIA,22,BUF,13,Dave Wannstedt,Wade Phillips
2000,6,NE,24,IND,16,Bill Belichick,Jim Mora
2000,6,NYJ,3,PIT,20,Al Groh,Bill Cowher
2000,6,PHI,14,WAS,17,Andy Reid,Terry Robiskie
2000,6,ARI,29,CLE,21,Vince Tobin,Chris Palmer
2000,6,ATL,6,NYG,13,Dan Reeves,Jim Fassel
2000,6,CAR,26,SEA,3,George Seifert,Mike Holmgren
2000,6,SD,7,DEN,21,Mike Riley,Mike Shanahan
2000,6,SF,28,OAK,34,Steve Mariucci,Jon Gruden
2000,6,JAX,10,BAL,15,Tom Coughlin,Brian Billick
2000,6,MIN,30,TB,23,Dennis Green,Tony Dungy
2000,7,BUF,27,SD,24,Wade Phillips,Mike Riley
2000,7,KC,17,OAK,20,Gunther Cunningham,Jon Gruden
2000,7,NO,24,CAR,6,Jim Haslett,George Seifert
2000,7,NYG,19,DAL,14,Jim Fassel,Dave Campo
2000,7,PIT,15,CIN,0,Bill Cowher,Dick LeBeau
2000,7,STL,45,ATL,29,Mike Martz,Dan Reeves
2000,7,WAS,10,BAL,3,Terry Robiskie,Brian Billick
2000,7,ARI,14,PHI,33,Vince Tobin,Andy Reid
2000,7,DEN,44,CLE,10,Mike Shanahan,Chris Palmer
2000,7,NE,17,NYJ,34,Bill Belichick,Al Groh
2000,7,SEA,24,IND,37,Mike Holmgren,Jim Mora
2000,7,GB,31,SF,28,Mike Sherman,Steve Mariucci
2000,7,CHI,16,MIN,28,Dick Jauron,Dennis Green
2000,7,TEN,27,JAX,13,Jeff Fisher,Tom Coughlin
2000,8,TB,14,DET,28,Tony Dungy,Bobby Ross
2000,8,IND,30,NE,23,Jim Mora,Bill Belichick
2000,8,ATL,19,NO,21,Dan Reeves,Jim Haslett
2000,8,BAL,6,TEN,14,Brian Billick,Jeff Fisher
2000,8,CAR,34,SF,16,George Seifert,Steve Mariucci
2000,8,CIN,31,DEN,21,Dick LeBeau,Mike Shanahan
2000,8,DAL,48,ARI,7,Dave Campo,Vince Tobin
2000,8,KC,54,STL,34,Gunther Cunningham,Mike Martz
2000,8,MIN,31,BUF,27,Dennis Green,Wade Phillips
2000,8,PHI,13,CHI,9,Andy Reid,Dick Jauron
2000,8,OAK,31,SEA,3,Jon Gruden,Mike Holmgren
2000,8,PIT,22,CLE,0,Bill Cowher,Chris Palmer
2000,8,JAX,16,WAS,35,Tom Coughlin,Terry Robiskie
2000,8,NYJ,40,MIA,37,Al Groh,Dave Wannstedt
2000,9,ATL,13,CAR,12,Dan Reeves,George Seifert
2000,9,BAL,6,PIT,9,Brian Billick,Bill Cowher
2000,9,BUF,23,NYJ,20,Wade Phillips,Al Groh
2000,9,CLE,3,CIN,12,Chris Palmer,Dick LeBeau
2000,9,IND,30,DET,18,Jim Mora,Gary Moeller
2000,9,MIA,28,GB,20,Dave Wannstedt,Mike Sherman
2000,9,TB,41,MIN,13,Tony Dungy,Dennis Green
2000,9,ARI,10,NO,21,Vince Tobin,Jim Haslett
2000,9,NYG,24,PHI,7,Jim Fassel,Andy Reid
2000,9,SF,24,STL,34,Steve Mariucci,Mike Martz
2000,9,DAL,17,JAX,23,Dave Campo,Tom Coughlin
2000,9,SEA,19,KC,24,Mike Holmgren,Gunther Cunningham
2000,9,SD,13,OAK,15,Mike Riley,Jon Gruden
2000,9,WAS,21,TEN,27,Terry Robiskie,Jeff Fisher
2000,10,ATL,14,TB,27,Dan Reeves,Tony Dungy
2000,10,CHI,27,IND,24,Dick Jauron,Jim Mora
2000,10,CIN,7,BAL,27,Dick LeBeau,Brian Billick
2000,10,CLE,3,NYG,24,Chris Palmer,Jim Fassel
2000,10,DET,8,MIA,23,Gary Moeller,Dave Wannstedt
2000,10,NE,13,BUF,16,Bill Belichick,Wade Phillips
2000,10,NO,31,SF,15,Jim Haslett,Steve Mariucci
2000,10,PHI,16,DAL,13,Andy Reid,Dave Campo
2000,10,TEN,9,PIT,7,Jeff Fisher,Bill Cowher
2000,10,ARI,16,WAS,15,Vince Tobin,Terry Robiskie
2000,10,NYJ,23,DEN,30,Al Groh,Mike Shanahan
2000,10,OAK,49,KC,31,Jon Gruden,Gunther Cunningham
2000,10,SEA,17,SD,15,Mike Holmgren,Mike Riley
2000,10,STL,24,CAR,27,Mike Martz,George Seifert
2000,10,GB,26,MIN,20,Mike Sherman,Dennis Green
2000,11,BUF,20,CHI,3,Wade Phillips,Dick Jauron
2000,11,CAR,10,NO,20,George Seifert,Jim Haslett
2000,11,DAL,23,CIN,6,Dave Campo,Dick LeBeau
2000,11,DET,13,ATL,10,Gary Moeller,Dan Reeves
2000,11,JAX,21,SEA,28,Tom Coughlin,Mike Holmgren
2000,11,MIN,31,ARI,14,Dennis Green,Dave McGinnis
2000,11,PIT,23,PHI,26,Bill Cowher,Andy Reid
2000,11,TEN,23,BAL,24,Jeff Fisher,Brian Billick
2000,11,CLE,19,NE,11,Chris Palmer,Bill Belichick
2000,11,SD,7,MIA,17,Mike Riley,Dave Wannstedt
2000,11,SF,21,KC,7,Steve Mariucci,Gunther Cunningham
2000,11,NYG,24,STL,38,Jim Fassel,Mike Martz
2000,11,TB,20,GB,15,Tony Dungy,Mike Sherman
2000,11,IND,23,NYJ,15,Jim Mora,Al Groh
2000,11,DEN,27,OAK,24,Mike Shanahan,Jon Gruden
2000,12,CHI,13,TB,10,Dick Jauron,Tony Dungy
2000,12,GB,26,IND,24,Mike Sherman,Jim Mora
2000,12,KC,17,BUF,21,Gunther Cunningham,Wade Phillips
2000,12,MIN,31,CAR,17,Dennis Green,George Seifert
2000,12,NE,16,CIN,13,Bill Belichick,Dick LeBeau
2000,12,NO,22,OAK,31,Jim Haslett,Jon Gruden
2000,12,NYG,21,DET,31,Jim Fassel,Gary Moeller
2000,12,PHI,34,ARI,9,Andy Reid,Dave McGinnis
2000,12,TEN,24,CLE,10,Jeff Fisher,Chris Palmer
2000,12,DEN,38,SD,37,Mike Shanahan,Mike Riley
2000,12,MIA,3,NYJ,20,Dave Wannstedt,Al Groh
2000,12,BAL,27,DAL,0,Brian Billick,Dave Campo
2000,12,SF,16,ATL,6,Steve Mariucci,Dan Reeves
2000,12,PIT,24,JAX,34,Bill Cowher,Tom Coughlin
2000,12,STL,20,WAS,33,Mike Martz,Terry Robiskie
2000,13,DET,34,NE,9,Gary Moeller,Bill Belichick
2000,13,DAL,15,MIN,27,Dave Campo,Dennis Green
2000,13,BAL,44,CLE,7,Brian Billick,Chris Palmer
2000,13,CIN,28,PIT,48,Dick LeBeau,Bill Cowher
2000,13,NYJ,17,CHI,10,Al Groh,Dick Jauron
2000,13,STL,24,NO,31,Mike Martz,Jim Haslett
2000,13,TB,31,BUF,17,Tony Dungy,Wade Phillips
2000,13,WAS,20,PHI,23,Terry Robiskie,Andy Reid
2000,13,OAK,41,ATL,14,Jon Gruden,Dan Reeves
2000,13,IND,14,MIA,17,Jim Mora,Dave Wannstedt
2000,13,JAX,16,TEN,13,Tom Coughlin,Jeff Fisher
2000,13,SD,17,KC,16,Mike Riley,Gunther Cunningham
2000,13,SEA,31,DEN,38,Mike Holmgren,Mike Shanahan
2000,13,ARI,7,NYG,31,Dave McGinnis,Jim Fassel
2000,13,CAR,31,GB,14,George Seifert,Mike Sherman
2000,14,MIN,24,DET,17,Dennis Green,Gary Moeller
2000,14,ATL,10,SEA,30,Dan Reeves,Mike Holmgren
2000,14,BUF,6,MIA,33,Wade Phillips,Dave Wannstedt
2000,14,CAR,16,STL,3,George Seifert,Mike Martz
2000,14,CIN,24,ARI,13,Dick LeBeau,Dave McGinnis
2000,14,NO,23,DEN,38,Jim Haslett,Mike Shanahan
2000,14,PHI,13,TEN,15,Andy Reid,Jeff Fisher
2000,14,PIT,21,OAK,20,Bill Cowher,Jon Gruden
2000,14,TB,27,DAL,7,Tony Dungy,Dave Campo
2000,14,WAS,7,NYG,9,Terry Robiskie,Jim Fassel
2000,14,SD,17,SF,45,Mike Riley,Steve Mariucci
2000,14,JAX,48,CLE,0,Tom Coughlin,Chris Palmer
2000,14,NYJ,27,IND,17,Al Groh,Jim Mora
2000,14,CHI,6,GB,28,Dick Jauron,Mike Sherman
2000,14,NE,30,KC,24,Bill Belichick,Gunther Cunningham
2000,15,BAL,24,SD,3,Brian Billick,Mike Riley
2000,15,CHI,24,NE,17,Dick Jauron,Bill Belichick
2000,15,CLE,24,PHI,35,Chris Palmer,Andy Reid
2000,15,GB,26,DET,13,Mike Sherman,Gary Moeller
2000,15,JAX,44,ARI,10,Tom Coughlin,Dave McGinnis
2000,15,KC,15,CAR,14,Gunther Cunningham,George Seifert
2000,15,MIA,13,TB,16,Dave Wannstedt,Tony Dungy
2000,15,NYG,30,PIT,10,Jim Fassel,Bill Cowher
2000,15,TEN,35,CIN,3,Jeff Fisher,Dick LeBeau
2000,15,DEN,31,SEA,24,Mike Shanahan,Mike Holmgren
2000,15,DAL,32,WAS,13,Dave Campo,Terry Robiskie
2000,15,SF,27,NO,31,Steve Mariucci,Jim Haslett
2000,15,STL,40,MIN,29,Mike Martz,Dennis Green
2000,15,OAK,31,NYJ,7,Jon Gruden,Al Groh
2000,15,IND,44,BUF,20,Jim Mora,Wade Phillips
2000,16,PIT,24,WAS,3,Bill Cowher,Terry Robiskie
2000,16,SEA,27,OAK,24,Mike Holmgren,Jon Gruden
2000,16,BUF,10,NE,13,Wade Phillips,Bill Belichick
2000,16,CAR,30,SD,22,George Seifert,Mike Riley
2000,16,CIN,17,JAX,14,Dick LeBeau,Tom Coughlin
2000,16,CLE,0,TEN,24,Chris Palmer,Jeff Fisher
2000,16,KC,20,DEN,7,Gunther Cunningham,Mike Shanahan
2000,16,MIN,28,GB,33,Dennis Green,Mike Sherman
2000,16,NO,23,ATL,7,Jim Haslett,Dan Reeves
2000,16,NYJ,7,DET,10,Al Groh,Gary Moeller
2000,16,SF,17,CHI,0,Steve Mariucci,Dick Jauron
2000,16,ARI,7,BAL,13,Dave McGinnis,Brian Billick
