round,pick,team,name,pos,age,college,last_season,career_av,pro_bowls
8,214,MIA,David Woodley,QB,21,LSU,1985,34,0
8,215,CHI,Randy Clark,C,23,Northern Illinois,1987,27,0
8,216,DAL,Larry Savage,LB,,Michigan St.,,,0
8,217,HOU,Harold Bailey,WR,23,Oklahoma St.,1982,5,0
8,218,PHI,Mike Curcio,LB,23,Temple,1983,4,0
8,219,SDG,Curtis Sirmones,RB,,North Alabama,,,0
8,220,RAM,Tom Pettigrew,T,,Eastern Illinois,,,0
8,221,PIT,Ted Walton,DB,,Connecticut,,,0
9,222,DET,DeWayne Jett,WR,,Hawaii,,,0
9,223,DET,Tom Tuinei,DT,22,Hawaii,1980,2,0
9,224,CIN,Greg Bright,DB,23,Morehead St.,1981,9,0
9,225,STL,Stafford Mays,DE,22,Washington,1988,14,0
9,226,GNB,Kelly Saalfeld,C,24,Nebraska,1980,0,0
9,227,BAL,Mark Bright,RB,,Temple,,,0
9,228,ATL,Glen Keller,C,,West Texas A&M,,,0
9,229,NYG,Otis Wonsley,RB,23,Alcorn St.,1985,1,0
9,230,KAN,Tom Donovan,WR,23,Penn St.,1980,0,0
9,231,BUF,Kent Davis,DB,,SE Missouri St.,,,0
9,232,MIN,Dennis Mosley,RB,,Iowa,,,0
9,233,NOR,Frank Mordica,RB,,Vanderbilt,,,0
9,234,NYJ,Joe Peters,DT,,Arizona St.,,,0
9,235,NWE,Barry Burget,LB,,Oklahoma,,,0
9,236,CLE,Roy De Walt,RB,,Texas-Arlington,,,0
9,237,SFO,Dan Hartwig,QB,,California Lutheran,,,0
9,238,SEA,Jim Swift,T,,Iowa,,,0
9,239,MIA,Mark Goodspeed,T,23,Nebraska,1980,0,0
9,240,TAM,Gerald Carter,WR,23,Texas A&M,1987,27,0
9,241,WAS,Lawrence McCullough,WR,,Illinois,,,0
9,242,CHI,Turk Schonert,QB,23,Stanford,1989,12,0
9,243,DEN,Greg Bracelin,LB,23,California,1984,15,0
9,244,HOU,Ed Harris,RB,,Bishop,,,0
9,245,PHI,Bob Harris,T,,Bowling Green,,,0
9,246,DAL,Jackie Flowers,WR,,Florida St.,,,0
9,247,SDG,Steve Whitman,RB,,Alabama,,,0
9,248,RAM,George Farmer,WR,21,Southern,1987,12,0
9,249,PIT,Ron McCall,WR,,Ark-Pine Bluff,,,0
10,250,PIT,Woodrow Wilson,DB,,North Carolina St.,,,0
10,251,DET,Donnie Henderson,DB,,Utah St.,,,0
10,252,CIN,Sandro Vitiello,K,22,Massachusetts,1980,-1,0
10,253,GNB,Jafus White,DB,,Texas A&M-Kingsville,,,0
10,254,BAL,Larry Stewart,T,,Maryland,,,0
10,255,STL,Rush Brown,DT,26,Ball St.,1983,19,0
10,256,NYG,Joe Sanford,T,,Washington,,,0
10,257,ATL,Walt Bellamy,DB,,VMI,,,0
