name,birth_year,source
Dave Fipp,1974,wikidata:P569 occupation=American football coach
Dave McGinnis,1951,wikidata:P569 occupation=American football coach
Dave Ragone,1979,wikidata:P569 occupation=American football coach
Dave Wannstedt,1952,wikidata:P569 occupation=American football coach
DeMeco Ryans,1984,wikidata:P569 occupation=American football coach
Dennis Allen,1972,wikidata:P569 occupation=American football coach
Dennis Erickson,1947,wikidata:P569 occupation=American football coach
Dennis Green,1949,wikidata:P569 occupation=American football coach
Dennis Thurman,1956,wikidata:P569 occupation=American football coach
Derius Swinton II,1985,wikidata:P569 occupation=American football coach
Dick Coury,1929,wikidata:P569 occupation=American football coach
Dick Hoak,1939,wikidata:P569 occupation=American football coach
Dick Jamieson,1937,wikidata:P569 occupation=American football coach
Dick Jauron,1950,wikidata:P569 occupation=American football coach
Dick LeBeau,1937,wikidata:P569 occupation=American football coach
Dick Modzelewski,1931,wikidata:P569 occupation=American football coach
Dick Vermeil,1936,wikidata:P569 occupation=American football coach
Dom Capers,1950,wikidata:P569 occupation=American football coach
Don Breaux,1940,wikidata:P569 occupation=American football coach
Don Shula,1930,wikidata:P569 occupation=American football coach
Doug Marrone,1964,wikidata:P569 occupation=American football coach
Doug Pederson,1968,wikidata:P569 occupation=American football coach
Ed Donatell,1957,wikipedia:intro extract
Ed Hughes,1927,wikidata:P569 occupation=American football coach
Edgar Bennett,1969,wikidata:P569 occupation=American football coach
Elijah Pitts,1938,wikidata:P569 occupation=American football coach
Emmitt Thomas,1943,wikidata:P569 occupation=American football coach
Eric Bieniemy,1969,wikidata:P569 occupation=American football coach
Eric Mangini,1971,wikidata:P569 occupation=American football coach
Ernie Stautner,1925,wikidata:P569 occupation=American football coach
Floyd Peters,1936,wikidata:P569 occupation=American football coach
Floyd Reese,1948,wikidata:P569 occupation=American football coach
Forrest Gregg,1933,wikidata:P569 occupation=American football coach
Frank Bush,1963,wikidata:P569 occupation=American football coach
Frank Gansz,1938,wikidata:P569 occupation=American football coach
Frank Novak,1940,wikidata:P569 occupation=American football coach
Frank Reich,1961,wikidata:P569 occupation=American football coach
Fritz Shurmur,1932,wikidata:P569 occupation=American football coach
Gary Crowton,1957,wikipedia:intro extract
Gary Kubiak,1961,wikidata:P569 occupation=American football coach
Gary Zauner,1950,wikipedia:intro extract
Geep Chryst,1962,wikidata:P569 occupation=American football coach
Gene Stallings,1935,wikidata:P569 occupation=American football coach
George Edwards,1967,wikidata:P569 occupation=American football coach
George Godsey,1979,wikidata:P569 occupation=American football coach
George Hill,1933,wikidata:P569 occupation=American football coach
George Sefcik,1939,wikidata:P569 occupation=American football coach
George Seifert,1940,wikidata:P569 occupation=American football coach
George Stewart,1958,wikidata:P569 occupation=American football coach
Gil Haskell,1943,wikipedia:intro extract
Greg Blache,1949,wikipedia:intro extract
Greg Knapp,1963,wikidata:P569 occupation=American football coach
Greg Manusky,1966,wikidata:P569 occupation=American football coach
Greg Olson,1963,wikidata:P569 occupation=American football coach
Greg Robinson,1951,wikidata:P569 occupation=American football coach
Greg Roman,1972,wikidata:P569 occupation=American football coach
Greg Schiano,1966,wikidata:P569 occupation=American football coach
Gregg Williams,1958,wikidata:P569 occupation=American football coach
Gunther Cunningham,1946,wikidata:P569 occupation=American football coach
Gus Bradley,1966,wikidata:P569 occupation=American football coach
Hank Bauer,1954,wikidata:P569 occupation=American football coach
Hank Bullough,1934,wikidata:P569 occupation=American football coach
Hank Kuhlmann,1937,wikidata:P569 occupation=American football coach
Harold Goodwin,1973,wikidata:P569 occupation=American football coach
Heath Farwell,1981,wikidata:P569 occupation=American football coach
Herb Paterra,1940,wikidata:P569 occupation=American football coach
Hue Jackson,1965,wikidata:P569 occupation=American football coach
Jack Del Rio,1963,wikidata:P569 occupation=American football coach
Jack Pardee,1936,wikidata:P569 occupation=American football coach
Jack Reilly,1946,wikidata:P569 occupation=American football coach
James Bettcher,1978,wikidata:P569 occupation=American football coach
Jason Garrett,1966,wikidata:P569 occupation=American football coach
Jay Gruden,1967,wikidata:P569 occupation=American football coach
Jeff Davidson,1967,wikidata:P569 occupation=American football coach
Jeff Fisher,1958,wikidata:P569 occupation=American football coach
Jeff Ulbrich,1977,wikidata:P569 occupation=American football coach
Jeremy Bates,1976,wikidata:P569 occupation=American football coach
Jerry Burns,1927,wikidata:P569 occupation=American football coach
Jerry Glanville,1941,wikidata:P569 occupation=American football coach
Jerry Gray,1962,wikidata:P569 occupation=American football coach
Jim Bates,1946,wikidata:P569 occupation=American football coach
Jim Bob Cooter,1984,wikidata:P569 occupation=American football coach
Jim Caldwell,1955,wikidata:P569 occupation=American football coach
Jim Fassel,1949,wikidata:P569 occupation=American football coach
Jim Harbaugh,1963,wikidata:P569 occupation=American football coach
Jim Haslett,1955,wikidata:P569 occupation=American football coach
Jim Hostler,1966,wikidata:P569 occupation=American football coach
Jim Johnson,1941,wikipedia:Jim_Johnson_(American_football)
Jim Mora,1961,"wikipedia:Jim_L._Mora - Jim L. Mora, Jr."
Jim Ringo,1931,wikidata:P569 occupation=American football coach
Jim Schwartz,1966,wikidata:P569 occupation=American football coach
Jimmy Raye,1946,wikipedia:Jimmy_Raye_II
Joe Avezzano,1943,wikidata:P569 occupation=American football coach
Joe Barry,1970,wikidata:P569 occupation=American football coach
Joe Brady,1989,wikidata:P569 occupation=American football coach
Joe Bugel,1940,wikidata:P569 occupation=American football coach
Joe DeCamillis,1965,wikidata:P569 occupation=American football coach
Joe Gibbs,1940,wikidata:P569 occupation=American football coach
Joe Judge,1981,wikidata:P569 occupation=American football coach
Joe Lombardi,1971,wikidata:P569 occupation=American football coach
Joe Marciano,1954,wikidata:P569 occupation=American football coach
Joe Pascale,1946,wikidata:P569 occupation=American football coach
Joe Pendry,1947,wikidata:P569 occupation=American football coach
Joe Philbin,1961,wikidata:P569 occupation=American football coach
Joe Walton,1935,wikidata:P569 occupation=American football coach
Joe Woods,1970,wikidata:P569 occupation=American football coach
John Bonamego,1963,wikidata:P569 occupation=American football coach
John Fassel,1974,wikidata:P569 occupation=American football coach
John Fox,1955,wikidata:P569 occupation=American football coach
John Harbaugh,1962,wikidata:P569 occupation=American football coach
John Hufnagel,1951,wikidata:P569 occupation=American football coach
John Marshall,1945,wikipedia:John_Marshall_(American_football)
John Morton,1969,wikidata:P569 occupation=American football coach
John Pagano,1967,wikidata:P569 occupation=American football coach
John Robinson,1935,wikidata:P569 occupation=American football coach
John Sandusky,1925,wikidata:P569 occupation=American football coach
Jon Gruden,1963,wikidata:P569 occupation=American football coach
Jonathan Gannon,1983,wikidata:P569 occupation=American football coach
Josh Boyer,1977,wikidata:P569 occupation=American football coach
Josh McDaniels,1976,wikidata:P569 occupation=American football coach
Kacy Rodgers,1969,wikidata:P569 occupation=American football coach
Keith Armstrong,1965,wikidata:P569 occupation=American football coach
Keith Burns,1960,wikidata:P569 occupation=American football coach
Keith Butler,1956,wikidata:P569 occupation=American football coach
Ken Anderson,1949,wikipedia:Ken_Anderson_(quarterback)
Ken Whisenhunt,1962,wikidata:P569 occupation=American football coach
Ken Zampese,1967,wikidata:P569 occupation=American football coach
Kevin Gilbride,1951,wikidata:P569 occupation=American football coach
Kevin O'Connell,1985,wikidata:P569 occupation=American football coach
Kevin O'Dea,1960,wikidata:P569 occupation=American football coach
Kevin Spencer,1953,wikipedia:Kevin_Spencer_(American_football)
Kevin Stefanski,1982,wikidata:P569 occupation=American football coach
Kippy Brown,1955,wikidata:P569 occupation=American football coach
Kliff Kingsbury,1979,wikidata:P569 occupation=American football coach
Klint Kubiak,1987,wikidata:P569 occupation=American football coach
Kurt Schottenheimer,1949,wikipedia:intro extract
Kyle Shanahan,1979,wikidata:P569 occupation=American football coach
Lane Kiffin,1975,wikidata:P569 occupation=American football coach
Larry Izzo,1974,wikidata:P569 occupation=American football coach
Larry Mac Duff,1948,wikidata:P569 occupation=American football coach
Larry Marmie,1942,wikidata:P569 occupation=American football coach
Larry Pasquale,1941,wikipedia:intro extract
Larry Peccatiello,1935,wikipedia:intro extract
LeCharls McDaniel,1958,wikidata:P569 occupation=American football coach
Leeman Bennett,1938,wikidata:P569 occupation=American football coach
Les Steckel,1946,wikidata:P569 occupation=American football coach
Leslie Frazier,1959,wikidata:P569 occupation=American football coach
Lindy Infante,1940,wikidata:P569 occupation=American football coach
Lovie Smith,1958,wikidata:P569 occupation=American football coach
Marc Trestman,1956,wikidata:P569 occupation=American football coach
Marcus Brady,1979,wikidata:P569 occupation=American football coach
Marion Campbell,1929,wikidata:P569 occupation=American football coach
Marquand Manuel,1979,wikidata:P569 occupation=American football coach
Marty Mornhinweg,1962,wikipedia:intro extract
Marty Schottenheimer,1943,wikidata:P569 occupation=American football coach
Marv Braden,1938,wikidata:P569 occupation=American football coach
Marvin Lewis,1958,wikipedia:Marvin_Lewis
Matt Burke,1976,wikidata:P569 occupation=American football coach
Matt Canada,1972,wikidata:P569 occupation=American football coach
Matt Cavanaugh,1956,wikidata:P569 occupation=American football coach
Matt Eberflus,1970,wikidata:P569 occupation=American football coach
Matt LaFleur,1979,wikidata:P569 occupation=American football coach
Matt Nagy,1978,wikidata:P569 occupation=American football coach
Matt Patricia,1974,wikidata:P569 occupation=American football coach
Matt Rhule,1975,wikidata:P569 occupation=American football coach
Maurice Carthon,1961,wikidata:P569 occupation=American football coach
Maurice Drayton,1976,wikidata:P569 occupation=American football coach
Mel Tucker,1972,wikidata:P569 occupation=American football coach
Michael Clay,1991,wikidata:P569 occupation=American football coach
Mike Ditka,1939,wikidata:P569 occupation=American football coach
Mike Heimerdinger,1952,wikidata:P569 occupation=American football coach
Mike Holmgren,1948,wikidata:P569 occupation=American football coach
Mike LaFleur,1987,wikidata:P569 occupation=American football coach
Mike Mallory,1963,wikidata:P569 occupation=American football coach
Mike Martz,1951,wikidata:P569 occupation=American football coach
Mike McCarthy,1963,wikidata:P569 occupation=American football coach
Mike McCoy,1972,wikidata:P569 occupation=American football coach
Mike McDaniel,1983,wikidata:P569 occupation=American football coach
Mike Miller,1970,wikidata:P569 occupation=American football coach
Mike Munchak,1960,wikidata:P569 occupation=American football coach
Mike Nolan,1959,wikidata:P569 occupation=American football coach
Mike Pettine,1966,wikidata:P569 occupation=American football coach
Mike Priefer,1966,wikidata:P569 occupation=American football coach
Mike Riley,1953,wikidata:P569 occupation=American football coach
Mike Shanahan,1952,wikidata:P569 occupation=American football coach
Mike Sherman,1954,wikidata:P569 occupation=American football coach
Mike Shula,1965,wikidata:P569 occupation=American football coach
Mike Smith,1959,wikidata:P569 occupation=American football coach
Mike Solari,1955,wikidata:P569 occupation=American football coach
Mike Stock,1939,wikidata:P569 occupation=American football coach
Mike Sullivan,1967,wikidata:P569 occupation=American football coach
Mike Sweatman,1946,wikidata:P569 occupation=American football coach
Mike Tice,1959,wikidata:P569 occupation=American football coach
Mike Tomlin,1972,wikidata:P569 occupation=American football coach
Mike Trgovac,1959,wikidata:P569 occupation=American football coach
Mike Vrabel,1975,wikidata:P569 occupation=American football coach
Mike Westhoff,1948,wikidata:P569 occupation=American football coach
Mike Zimmer,1956,wikidata:P569 occupation=American football coach
Monte Kiffin,1940,wikidata:P569 occupation=American football coach
Nate Kaczor,1967,wikidata:P569 occupation=American football coach
Nathaniel Hackett,1979,wikidata:P569 occupation=American football coach
Nick Sirianni,1981,wikidata:P569 occupation=American football coach
Nick Sorensen,1978,wikidata:P569 occupation=American football coach
Norv Turner,1952,wikidata:P569 occupation=American football coach
Pat Shurmur,1965,wikidata:P569 occupation=American football coach
Patrick Graham,1979,wikidata:P569 occupation=American football coach
Paul Guenther,1971,wikidata:P569 occupation=American football coach
Paul Hackett,1947,wikidata:P569 occupation=American football coach
Pete Carmichael,1941,wikidata:P569 occupation=American football coach
Pete Carroll,1951,wikidata:P569 occupation=American football coach
Pete Rodriguez,1940,wikipedia:Pete_Rodriguez_(gridiron_football)
Peter Giunta,1956,wikidata:P569 occupation=American football coach
Raheem Morris,1976,wikidata:P569 occupation=American football coach
Ray Horton,1960,wikidata:P569 occupation=American football coach
Ray Perkins,1941,wikidata:P569 occupation=American football coach
Ray Rhodes,1950,wikidata:P569 occupation=American football coach
Raymond Berry,1933,wikidata:P569 occupation=American football coach
Renaldo Hill,1978,wikidata:P569 occupation=American football coach
Rex Ryan,1962,wikidata:P569 occupation=American football coach
Rich Bisaccia,1960,wikidata:P569 occupation=American football coach
Rich Brooks,1941,wikidata:P569 occupation=American football coach
Richard Rodgers Sr.,1961,wikidata:P569 occupation=American football coach
Richard Smith,1955,wikidata:P569 occupation=American football coach
Richie Petitbon,1938,wikidata:P569 occupation=American football coach
Rick Dennison,1958,wikidata:P569 occupation=American football coach
Rick Neuheisel,1961,wikidata:P569 occupation=American football coach
Rick Venturi,1946,wikidata:P569 occupation=American football coach
Rob Chudzinski,1968,wikidata:P569 occupation=American football coach
Rob Ryan,1962,wikidata:P569 occupation=American football coach
Robert Saleh,1979,wikidata:P569 occupation=American football coach
Rod Dowhower,1943,wikidata:P569 occupation=American football coach
Rod Rust,1928,wikidata:P569 occupation=American football coach
Romeo Crennel,1947,wikidata:P569 occupation=American football coach
Ron Erhardt,1931,wikidata:P569 occupation=American football coach
Ron Meyer,1941,wikidata:P569 occupation=American football coach
Ron Rivera,1962,wikidata:P569 occupation=American football coach
Ron Turner,1953,wikidata:P569 occupation=American football coach
Ron Zook,1954,wikidata:P569 occupation=American football coach
Ronnie Bradford,1970,wikidata:P569 occupation=American football coach
Ronnie Jones,1955,wikidata:P569 occupation=American football coach
Russ Purnell,1948,wikidata:P569 occupation=American football coach
Rusty Tillman,1946,wikidata:P569 occupation=American football coach
Sam Wyche,1945,wikidata:P569 occupation=American football coach
Scott Linehan,1963,wikidata:P569 occupation=American football coach
Scott O'Brien,1957,wikidata:P569 occupation=American football coach
Scott Turner,1982,wikidata:P569 occupation=American football coach
Sean Desai,1983,wikidata:P569 occupation=American football coach
Sean Kugler,1966,wikidata:P569 occupation=American football coach
Sean McDermott,1974,wikidata:P569 occupation=American football coach
Sean McVay,1986,wikidata:P569 occupation=American football coach
Sean Payton,1963,wikidata:P569 occupation=American football coach
Shane Bowen,1986,wikidata:P569 occupation=American football coach
Shane Steichen,1985,wikidata:P569 occupation=American football coach
Sherman Lewis,1942,wikidata:P569 occupation=American football coach
Steve Belichick,1919,wikidata:P569 occupation=American football coach
Steve Crosby,1950,wikidata:P569 occupation=American football coach
Steve Fairchild,1958,wikidata:P569 occupation=American football coach
Steve Hoffman,1958,wikidata:P569 occupation=American football coach
Steve Mariucci,1955,wikidata:P569 occupation=American football coach
Steve Moore,1960,wikidata:P569 occupation=American football coach
Steve Sarkisian,1974,wikidata:P569 occupation=American football coach
Steve Sidwell,1944,wikidata:P569 occupation=American football coach
Sylvester Croom,1954,wikipedia:intro extract
Ted Cottrell,1947,wikidata:P569 occupation=American football coach
Ted Fritsch,1920,wikidata:P569 occupation=American football coach
Ted Plumb,1939,wikidata:P569 occupation=American football coach
Ted Tollner,1940,wikidata:P569 occupation=American football coach
Terry Robiskie,1954,wikidata:P569 occupation=American football coach
Teryl Austin,1965,wikidata:P569 occupation=American football coach
Tim Kelly,1986,wikidata:P569 occupation=American football coach
Tim Lewis,1961,wikidata:P569 occupation=American football coach
Tim Walton,1971,wikidata:P569 occupation=American football coach
Todd Bowles,1963,wikidata:P569 occupation=American football coach
Todd Downing,1980,wikidata:P569 occupation=American football coach
Todd Grantham,1966,wikidata:P569 occupation=American football coach
Todd Haley,1967,wikidata:P569 occupation=American football coach
Tom Cable,1964,wikidata:P569 occupation=American football coach
Tom Catlin,1931,wikidata:P569 occupation=American football coach
Tom Clements,1953,wikidata:P569 occupation=American football coach
Tom Coughlin,1946,wikidata:P569 occupation=American football coach
Tom Flores,1937,wikidata:P569 occupation=American football coach
Tom Landry,1924,wikidata:P569 occupation=American football coach
Tom McMahon,1969,wikidata:P569 occupation=American football coach
Tom Moore,1938,wikidata:P569 occupation=American football coach
Tom Quinn,1968,wikidata:P569 occupation=American football coach
Tom Rossley,1946,wikipedia:intro extract
Tony Dungy,1955,wikidata:P569 occupation=American football coach
Tony Sparano,1961,wikidata:P569 occupation=American football coach
Urban Meyer,1964,wikidata:P569 occupation=American football coach
Vance Joseph,1972,wikidata:P569 occupation=American football coach
Vic Fangio,1958,wikidata:P569 occupation=American football coach
Vince Tobin,1943,wikidata:P569 occupation=American football coach
Wade Phillips,1947,wikidata:P569 occupation=American football coach
Walt Corey,1938,wikidata:P569 occupation=American football coach
Wayne Fontes,1940,wikidata:P569 occupation=American football coach
Wayne Sevier,1941,wikidata:P569 occupation=American football coach
Willy Robinson,1956,wikidata:P569 occupation=American football coach
Zac Taylor,1983,wikidata:P569 occupation=American football coach
Zaven Yaralian,1952,wikidata:P569 occupation=American football coach
Zeke Bratkowski,1931,wikidata:P569 occupation=American football coach
